Date&Time,Tweet,Tweet_ID,ReTweet_Count,Favorite_Count,Tweet_Source
2023-03-03 20:02:20+00:00,169 mt orbit year far,1631746850054352897,2012,27815,Twitter for iPhone
2023-03-03 18:56:06+00:00,stage 1 stage 2 mass ratio high falcon 9 necessitating long entry burn fixed starship,1631730183698001920,729,9440,Twitter for iPhone
2023-03-03 18:39:23+00:00,rt pics dragon crew6 approaching morning,1631725977897435136,2155,0,Twitter for iPhone
2023-03-03 18:39:00+00:00,another launch,1631725881378082816,4172,22497,Twitter for iPhone
2023-03-03 18:16:10+00:00,used crypto got interested ai,1631720134636367872,13326,150066,Twitter for iPhone
2023-03-03 17:20:09+00:00,goal,1631706036292952064,355,5942,Twitter for iPhone
2023-03-02 12:26:07+00:00,many nns visualizer tool crashes trying render,1631269653442961409,444,7022,Twitter for iPhone
2023-03-02 11:38:33+00:00,insane,1631257681473294338,682,9626,Twitter for iPhone
2023-03-02 07:59:49+00:00,,1631202637184991237,297,5617,Twitter for iPhone
2023-03-02 07:46:06+00:00,ability twitter advertising reach influential people world often fully appreciated social networks technically bigger twitter writers amp leaders spend time,1631199184203182080,12919,133935,Twitter for iPhone
2023-03-02 07:27:08+00:00,cybertruck cruisers nextlevel designed bladerunner,1631194410552803328,1544,34985,Twitter for iPhone
2023-03-02 05:37:07+00:00,rt liftoff crew6,1631166723092037633,5107,0,Twitter for iPhone
2023-03-02 05:30:43+00:00,rt rocket fueling started systems remain go launch nasas crew6 mission set lift 1234am et,1631165115969011714,2266,0,Twitter for iPhone
2023-03-02 05:24:35+00:00,rt crew6 go launch,1631163568828686336,3941,0,Twitter for iPhone
2023-03-02 05:24:30+00:00,rt watch falcon 9 launch dragon crew6,1631163551673991169,2383,0,Twitter for iPhone
2023-03-02 02:57:31+00:00,twice many people died japan last year born population freefall rest world trending follow,1631126559015747585,26724,131972,Twitter for iPhone
2023-03-02 02:41:36+00:00,exactly,1631122553258274818,383,7034,Twitter for iPhone
2023-03-02 02:40:49+00:00,wow,1631122359556947973,160,2875,Twitter for iPhone
2023-03-02 02:17:47+00:00,good,1631116559941771265,232,5285,Twitter for iPhone
2023-03-02 02:10:45+00:00,rt go launch watch crew6 blast dragon endeavour spacecraft upcoming launch attemp,1631114789723201537,3203,0,Twitter for iPhone
2023-03-01 23:57:05+00:00,interesting,1631081153024217091,359,11320,Twitter for iPhone
2023-03-01 23:42:50+00:00,rt produced 4 millionth vehicle giga texas today,1631077564931252224,4209,0,Twitter for iPhone
2023-03-01 22:41:29+00:00,bus voltage raised 12v 48v drops copper usage 4x,1631062128147693573,624,10616,Twitter for iPhone
2023-03-01 22:35:51+00:00,lol,1631060708715577348,182,3881,Twitter for iPhone
2023-03-01 22:31:55+00:00,olbermann posting dog account epic,1631059721368076289,337,3675,Twitter for iPhone
2023-03-01 22:16:01+00:00,detailed whitepaper calculations amp assumptions released tesla shortly,1631055720153006080,2262,33939,Twitter for iPhone
2023-03-01 22:14:04+00:00,,1631055228089794560,10070,119650,Twitter for iPhone
2023-03-01 22:06:37+00:00,accurate,1631053352200024064,710,15638,Twitter for iPhone
2023-03-01 21:58:52+00:00,rt teslas purpose accelerate worlds transition sustainable energy today unveiling master plan 3the path,1631051401525690374,3530,0,Twitter for iPhone
2023-03-01 21:24:19+00:00,,1631042709141037056,2932,27604,Twitter for iPhone
2023-03-01 21:15:10+00:00,youre gon na believe running little late presentation starts 5 mins,1631040406115823618,2811,37355,Twitter for iPhone
2023-03-01 20:49:15+00:00,obv,1631033881079197696,220,3984,Twitter for iPhone
2023-03-01 20:47:08+00:00,,1631033350746955777,127,4204,Twitter for iPhone
